id_doc 	page_pdf	page_book 	constr_type 	conjunction 	special_word 	meaning_Shvedova	meaning 	formula 	 formula_new 	year_first_using 	text_first_using 	year_last_using 	text_last_using 	other_examples	comments																				
138	70	140	временная	покамест 	до тех пор	ограниченность одного действия длительностью или наступлением другого действия	интервал	Clause до тех пор, покамест (не) Clause	Clause до тех пор, пока (не) Clause	1766	сего ради не хотел выехать из оного места до тех пор, покамест не уведает имя госпожи его. [М. Д. Чулков. Пересмешник, или Славенские сказки (1766-1768)] 	1973	Сказано тебе было: до тех пор рожать будешь, покамест парня не родишь. [Федор Абрамов. Дом (1973-1978)] 	[Повозки] уже не могли разъехаться и оставились в таком положении до тех пор, покамест, схвативши за задние колеса, не вытаскивали их. [Н. В. Гоголь. Повесть о том, как поссорился Иван Иванович с Иваном Никифоровичем (1835-1841)]	0																				
139	70	141	временная	покуда	0	ограниченность одного действия длительностью или наступлением другого действия	интервал	NP/VP, покуда Clause	0	1813	"Сп?шилъ скор?е прi?хать, чтобъ полежать въ постел? и отдохнуть; но и тутъ долженъ былъ очень долго ждать, покуда отвели мн? квартеру. [А. С. Шишков. Письма жене (1813-1814)] "	2006	Ждет, покуда Штирлиц напишет свою записку… [А. Е. Рекемчук. Мамонты (2006)]	И вот такою-то жизнью я прожил тридцать пять лет, выжидая, покуда подрастут братишки и сестренки. [Г. И. Успенский. Невидимка Авдотья (1888)]	придаточное прикрепляется к существительному со значением временного отрезка/к глаголу со значением ожидания																				
140	70	141	временная	покуда	0	ограниченность одного действия длительностью или наступлением другого действия	интервал	NP/VP, покуда Clause, Clause	0	1771	Вторый способъ легчайшій нежели прежній, разр?занную луковицу, положа оную на огн?, чтобъ была горяча, прикладывать къ карбункулу, перем?няя луковицы, когда приложенныя простынутъ, до т?хъ поръ, покуда этотъ чирей нарветъ и прорвется. [Христіанъ Граве. Штабъ-Л?каря Граве прим?чаніе о Испанскихъ мухахъ (1771)] 	2002	Он просто меня не замечал, как ненужную вещь, и в то время, покуда все маршировали по асфальтовому плацу, я сидел на скамейке запасных и курил, ловя на себе возмущенные и завистливые взоры. [Алексей Варламов. Присяга // «Новый Мир», 2002]	Все время, покуда она жила в доме (иногда месяца два-три), ее кормили и поили за барским столом. [М. Е. Салтыков-Щедрин. Пошехонская старина. Житие Никанора Затрапезного, пошехонского дворянина (1887-1889)]	придаточное прикрепляется к существительному со значением временного отрезка/к глаголу со значением ожидания																				
141	70	141	временная	пока	0	ограниченность одного действия длительностью или наступлением другого действия	интервал	NP/VP, пока Clause	0	1747	В первой четверти месяца скота на траву не выгонять очень рано, но ждать, пока солнце нарочито высоко взойдет. [М. В. Ломоносов. Лифляндская экономия (перевод) (1747)] 	2015	Мы почти во главе. Минут двадцать ждали, пока шлагбаум поднимут. Шлагбаум поднимается, а мы не могем. [Марина Зосимкина. Ты проснешься. Книга первая (2015)] 	Часа четыре надо было ждать, пока все засыпали. [Ф. М. Достоевский. Записки из Мертвого дома (1862)]	придаточное прикрепляется к существительному со значением временного отрезка/к глаголу со значением ожидания																				
142	71	143	временная	пока	0	ограниченность одного действия длительностью или наступлением другого действия	интервал	пока VP, VP	0	1755	Пока между ими происходили взаимныя прив?тствія, всеподданн?йше донесено Ея Императорскому Величеству о прибытіи Посланничьемъ. [Описаніе публичной аудіэнціи // Ежем?сячныя сочиненія къ польз? и увеселенію служащія. Генварь -- Іюнь, 1755 года, 1755]	2015	А потом и церковь в нашей Знаменке восстанавливала и открывала. Пока были силы, все там делала. А сейчас все спрашивает меня: «Батюшка, когда же я умру?» [Е. Кучеренко. О простых бабушках, Серафиме Саровском и мире, который мы теряем (2015.10.22)] 	Пока я говорил, Ася все больше и больше наклонялась вперед. [И. С. Тургенев. Ася (1858)]	0																				
143	72	144	временная	пока	0	ограниченность одного действия наступлением другого действия	интервал	Clause, пока (не) Clause	0	1698	И особливо удивлению достойно, что афицер швецкой, которой при эксекуции оного Паткуля был (и после колесования, хотя не скоро еще, едва ему живу сущу, голову допустил отсечь), от короля швецкого чину своего лишен, ибо король не приказывал ему скоро голову отсечь, пока не замучитца до смерти. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	Потом меня долго несло по жизни попутным ветром, пока не занесло в Испанию. [А. А. Данилова. Местность любви (2015.11.09)] 	Не отпускать из семинариума в городы, иль куды ни есть, к своим в гости, пока семинарист не обыкнет, пребывая в семинариуме, пока ощутит знатной пользы такого воспитания. [Духовный регламент (1721)]	0																				
144	72	144	временная	пока	то	ограниченность одного действия наступлением другого действия	интервал	пока не Clause, то Clause	0	1724	А у нас, пока неправда не искоренится, то для верности надлежит под иманцовою рукою поручника подписываться и со свидетелями. [И. Т. Посошков, Книга о скудости и богатстве (1724)]	2011	[Новичок] Пока ошейник не сломала, то в принципе терпимо было. [коллективный. Форум: Ошейник АНТИЛАЙ ПОМОГАЕТ ЛИ ОШЕЙНИК (2011-2013)] 	"Но пока не найдется щасливо такой другъ; то наибезопасн?йшее сретство, дабы небыть обмануту, есть сiе, чтобъ никому не в?рить. [В. К. Тредиаковский. Истинная политика знатных и благородных особ [перевод книги Н. Ремона де Кура с французского] (1745)] "	0																				
145	72	144	временная	покаместь	0	ограниченность одного действия наступлением другого действия	интервал	Clause, покаместь Clause	Clause, пока Clause	1720	"Буде же из сих кто подлежать будет денежному штрафу, а платить будет ему нечем, того послать без наказания в галерную работу, покаместь жалованье его вычетом погодным выдет в то число, что взять надлежало; за прочие же вины от нотариуса, которые ниже по рассмотрению коллегии наказаны да будут в коллегии: ежели же из сих подлежать будет пытке, или публичному наказанию, или казни, те все в юстиц-коллегию отосланы да будут. [[Петр I]. Генеральный регламент (1720)]"	1871	А другой и то молвит: «Давно бы-де оставил я эти глупости, да нельзя, покаместь старики живы ? дяди там какие али тетки. [П. И. Мельников-Печерский. В лесах. Книга вторая (1871-1874)] 	Вели пожаловать - дать льготы, покаместь внучата подрастут. [Хоз. Мороз., 1, №62]	0																				
146	73	147	временная	пока	до поры	ограниченность одного действия наступлением другого действия	интервал	до поры, пока Clause, Clause	0	1889	Я думаю, что книжка 3-я не будет хуже двух первых, я думаю также, что до поры, пока выйдет 3-я книжка, я успею напечатать ещё нечто, и оно должно поднять интерес ко мне. 	2014	Свобода совести, свобода мысли, свобода слова ? все эти свободы действуют в полной мере, но лишь до той поры, пока не сталкиваются со свободой другого. [Ростислав Ищенко. Русский мир и национальный вопрос // «Эксперт», 2014]	Они говорили до поры, пока келейник принес самовар. [Максим Горький. Дело Артамоновых (1924-1925) ]	0																				
147	74	148	временная	как	0	одновременность 	одновременность 	как VP, VP	0	1682	В 192 (1683/84) году послан воеводою в Чернигов окольничий Иван Афанасьевич Желябужский, и как в Чернигов приехал, полковник был Борис Федоров сын Дементьев. [И. А. Желябужский. Дневные записки (1682-1709)] 	0	0	Как мысли мои текли тихою струею вслед за нотами вальса, подошел ко мне хворый нищий. [Моск. Мерк., 1803, фев.]	0																				
148	74	148	временная	как	тогда	одновременность 	одновременность 	как VP, тогда VP	0	1709	И как войско наше таковым образом в ордер баталии установясь, на неприятеля пошло, и тогда в 9-м часу перед полуднем атака и жестокой огонь с обоих сторон начался, которая атака от наших войск с такою храбростию учинена, что вся неприятелская армея по получасном бою с малым уроном наших войск <… [«Обстоятельная реляция» о Полтавской битве (1709)] 	0	0	Как соловьи начнут согласно Будить и кликать солнце красно - Тогда меня разбудит стук Карет. [И. А. Крылов. Отъезд из деревни (1847)]	0																				
149	74	148	временная	как	то	одновременность 	одновременность 	как VP, то VP	когда VP, то VP	1716	При том же выехали на верблюдах человек с 10 и стреляли из пушек из малых, и на каждом верблюде по одной, которые укреплены были лотов по 20 калибр или малым больше, а те верблюды покрыты были красными сукнами, и как приехали ближе к городу, то стояли по обе стороны мещане, которым приказано было, чтоб никто не сидел в лавках и выходили бы все навстречу . [Переписка и дела во время посольства Артемия Волынского (1716-1718)] 	1999	Они сулятся, что как «придут, то дадут». [Виктор Астафьев. Затеси // «Новый Мир», 1999]	Как он подходил к тому селению, то уже осужденного вели к наказанию. [Сказка о Климке (1794-1795)]	0																				
150	74	148	временная	как	так	одновременность 	одновременность 	как VP, так VP	0	1734	И как уже нахожуся в крайней слабости и без надежды долго жизнь мою соблюсти, так оставляю твое научение более на твою прилежность, а сверх оного сие краткое завещание оставляю. [В. Н. Татищев. Духовная (1734)] 	2014	? Рубаху свою потную. Как не надо, так он потеет. И рубанок бери ? чинить. [Святослав Логинов. Мастерская Иосифа (2014)] 	Как я к тебе ехал, так знаешь ли, кого обогнал? [М. Н. Загоскин. Русские в начале осьмнадцатого столетия (1848)]	0																				
151	74	148	временная	когда	тогда	одновременность 	одновременность 	когда VP, тогда VP	0	1716	Когда они приезжают в Низовую с товарами, тогда джанышен шабранской держит их для своей корысти или по три и по месяцу и принуждает их развязывать товары на пустом месте напрасно. [Переписка и дела во время посольства Артемия Волынского (1716-1718)] 	2015	[Vovchik*, ?] И автобусы убитые, и режим работы уж совсем «когда хочу, тогда и еду». [коллективный. Рейтинг нижегородских автобусных перевозчиков. Поставь свою оценку! (опрос) (2015.04.23)]	Когда весна посетит и наш суровый климат, тогда, может быть, и мы положим несколько цветов к ногам вашим. [Моск. Мерк., 1803, янв.]	0																				
152	74	148	временная	когда	0	одновременность 	одновременность 	когда VP, VP	0	1682	И в прошлых числах, когда войско наше стояло при Петрикове, получена у наших ведомость чрез прежде посланных партей, что вышеупомянутый неприятель, который пред тем был от наших в близости, побежал вдаль к Калишу. [И. А. Желябужский. Дневные записки (1682-1709)] 	2015	Когда мы решали с посольством вопрос о захоронении, мне сказали: «Опять там отец Андрей за своих хлопочет». [А. А. Данилова. Местность любви (2015.11.09)] 	Когда ты уже получишь это письмо, я все еще буду со сна. [П. А. Вяземский. п. А. И. Тургеневу (22 июля 1818)]	0																				
153	74	148	временная	когда	то	одновременность 	одновременность 	когда VP, то VP	0	1698	А когда дошел до вышеписанной мызы, то оную обрел укрепленую около каменного дому земляною крепостью и полисадами, которую осадя, оной полковник послал к фелтьмаршалу с известием, что ее с одним полком достать не может. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	Более того, мы недавно увидели, что когда кто-то в этом районе продает квартиру, то обязательно в списке преимуществ района указывает, что рядом ? православный храм. [А. А. Данилова. Местность любви (2015.11.09)] 	Когда мне представлялось, что я солдат, то какой-то луч надежды сверкал передо мною. [Н. Ф. Павлов. Именины (1835)]	0																				
154	74	148	временная	когда	так	одновременность 	одновременность 	когда VP, так VP	0	1765	А когда у кого что свое есть, так ему нет нужды, знает ли о нем двор, или нет. [А. П. Сумароков. Опекун (1765)] 	2013	Когда стояли морозы, так и дважды на дню пускал дымок. [Василий Дубовский. Хижина дяди Саши (2013.04.12) // «Новгородские ведомости», 2013] 	Когда государь изволил послать меня в Москву, так с визирем шли переговоры. [М. Н. Загоскин. Русские в начале осьмнадцатого столетия (1848)]	0																				
155	74	149	временная	как	0	одновременность 	одновременность 	VP, как VP	0	1758	"Между тем Шумахер для приведения профессоров в ссору между собою прибирал себе всегда из них по обстоятельствам партию, вооружал и ободрял молодых профессоров против старых, надобных себе привлекал выдачею наперед или прибавкою жалованья, а других томлением, удерживая оное, сегодня того лаская, кого угнетал вчерась, переменял, как понадобится; [М. В. Ломоносов. Записка о необходимости преобразования Академии Наук (1758-1759)]"	2014	Я едва успел втащить Руслана за шиворот в укрытие, как раздался страшный грохот разрыва ракеты где-то выше, наверное, на третьем или четвертом этаже. [Александр Трушин. Двадцать лет без ответа // «Огонек», 2014] 	Так надобно гораздо разбирать, как станешь грубости кору с людей сдирать Чтоб с ней и добрых свойств у них не растерять. [И. А. Крылов. Червонец (1811)]	0																				
156	74	149	временная	когда	0	одновременность 	одновременность 	VP, когда VP	0	1715	"Двоякия салвогвардии суть: (1) состоит в залогах, когда един или многие солдаты даны бывают, для охранения от всяких насильств и обид; [[Петр I]. Артикул воинский (1715)] "	2016	[Флёра Даминова Роспись фарфора, nick] Я очень горжусь Ириком Мусиным, мы из одного города Казани, его работы видела вживую, когда принимали участие в совместных ежегодных выставках «АртГалерея». [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)] 	Вы знаете, как ожесточаются воины, когда после упорной обороны приступом берут крепость. [С. Н. Глинка. Записки о Москве (1837)]	0																				
157	74	149	временная	как	тогда	одновременность 	одновременность 	тогда VP, как VP	тогда VP, когда VP	1745	то есть, трубку, в A залитую и другим концом B опущенную во ртуть, в сосудец CD влитую, под колоколом ABCD поставь и воздух из трубки AB, как прежде (§56) из шара, вытяни, тогда ртуть в трубку подымется, как только внешний воздух впущен будет. [М. В. Ломоносов. Волфианская экспериментальная физика, с немецкого подлинника на латинском языке сокращенная (1745)] 	2001	Я с восхищением тогда слушаю, как моя писклявая скрипка вдруг начинает петь глубокими звуками. [Самуил Алешин. Встречи на грешной земле (2001)]	Дед мой находился тогда в службе, как она умерла. [А. Т. Болотов. Жизнь и приключения Андрея Болотова (1759)]	0																				
158	74	149	временная	когда	тогда	одновременность 	одновременность 	тогда VP, когда VP	0	1718	Полагати совесть на языце и тогда совестию хвалитися, когда плакати и стеняти подобает. [архиепископ Феофан (Прокопович). Слово о власти и чести царской… (1718)] 	2015	Кроме того, я сам начинал работать сомелье еще тогда, когда это слово знали единицы, а в рестораны ходили люди в бобровых шапках и выбирали вино по принципу «чем дороже, тем лучше». [Николай Проценко. Очень наглядный бизнес // «Эксперт», 2015]	"Он тогда не человек, когда дело идет о цели политической; у него нет сердца - у него только ум.  [И. И. Лажечников. Ледяной дом (1835)] "	0																				
159	75	150	временная	как	0	одновременность	одновременность	Adv, как VP, VP	0	1747	Поутру, как печь топится, замеси и катышки разбей. [М. В. Ломоносов. Лифляндская экономия (перевод) (1747)] 	2015	Сразу, как входишь, небольшой бар, несколько столиков, телевизионная панель, а в углу комп с выходом в Инет. [Марина Зосимкина. Ты проснешься. Книга первая (2015)] 	Некогда, как бабка моя была еще в девках, случилось приттить к ним одному монаху. [А. Т. Болотов. Жизнь и приключения Андрея Болотова (1759)]	прикрепление к обстоятельственному слову главной части с лексически выраженным значением временного отрезка (уточнительно-определительная ф-ция)																				
160	75	150	временная	как	0	последовательность	последовательность	как VP-pfv, VP-pfv	0	1698	Потом, как вышеписанные мартиры привезены и поставлены на кетели, в 22 день начали город бомбардировать и каркасы бросать, и продолжали оное четверы сутки, отчего в городе было 5 пожаров. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)]	2001	Был у них тогда обычай: как завалишь косолапого, устраивай пир, созывай побольше народу. [Вадим Бурлак. Хранители древних тайн (2001)]	Как Афинская крепость сдалась грекам, тотчас же разгорелся раздор в Ливадии. [Московский телеграф. № 11(1825)]	0																				
161	75	150	временная	как	так	последовательность	последовательность	как VP-pfv, так VP-pfv	0	1775	"Есть кому и без тебя служить: пускай кабы не было войны, так бы хоть и послужить можно было, это бы свое дело; а то вить ты знаешь, что нынече время военное; неровно как пошлют в армию, так пропадешь ни за копейку. [Н. И. Новиков. Живописец. Третье издание 1775 г. Часть I (1775)] "	2013	Как глянул, так понял, что кранты мне. [Алексей Моторов. Преступление доктора Паровозова (2013)] 	Ну, а как оберет он крестьян своих, так тотчас и за границу?  [В. А. Соллогуб. Тарантас (1845)]	0																				
162	75	150	временная	как	тогда	последовательность	последовательность	как VP-pfv, тогда VP-pfv	0	1698	Потом, как настала ночь, тогда с обоих сторон стрелба убавилася. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2013	Базарили, как только казачество восстановится, тогда и во всей стране порядок будет. [Алексей Моторов. Преступление доктора Паровозова (2013)] 	Долго спал дед, и как припекло порядочно уже солнце его выбритую макушку, тогда только свахтился он на ноги. [Н. В. Гоголь. Пропавшая грамота (1831-1832)]	0																				
163	75	150	временная	когда	то	последовательность	последовательность	когда VP-pfv, то V-pfv	0	1698	И когда саксонцы сие увидели, то думали, что малой деташамент, и так дали им доволное время построитца. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	А когда однажды он приехал в отпуск нас проведать, то я его не узнала, сказала: «Мой папа на фронте» и не пошла к нему на руки. [Л. Ермолинская, C. М. Толстая. Этнолингвист Светлана Толстая: Нас обвиняли в том, что мы проповедуем религию (2015.10.27)] 	Когда Уваров напечатает речь свою, то и ты ее получишь. [А. И. Тургенев. п. П. А. Вяземскому (23 марта 1818)]	0																				
164	75	150	временная	когда	тогда	последовательность	последовательность	когда VP,-pfv тогда VP-pfv	0	1698	Но когда услышал, что саксонцы уступили, тогда обратил свое намерение сикурсовать Нарву и, вышед с войски, в 18 000 состоящими (а иныя сказывали меньше), ноября в 18 день, он король швецкой пришел на сикурс к Нарве. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	? «А когда ты, мать, помрешь, тогда и женюсь. [Дина Рубина. Медная шкатулка (сборник) (2015)]	Когда возвратились его дети, молодые фон-Ланеки, тогда в замке все пошло иначе. [Московский телеграф. №11 (1825)]	0																				
165	75	150	временная	когда	0	последовательность	последовательность	когда VP-pfv, VP-pfv	0	1698	Но когда они, неприятели, дошли до посту двух полков гвардии, тут оных одержали, и продолжился бой близь реки Наровы даже до ночи, куды и та половина неприятельских людей, которая была против дивизии Вейдовой, пришла, однако ж неприятеля далее аванжировать не допустили. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	Когда несколько лет назад я стал православным христианином, я увидел, что православие несет не только истину и добро, но еще и красоту, которой миру отчаянно не хватает. [А. А. Данилова. Местность любви (2015.11.09)] 	Но когда рушилась пограничная защита России и когда узнали о бессилии ее войска, скопища татар устремили убийственные длани свои к опустошению. [С. Н. Глинка. Записки о Москве (1837)]	0																				
166	75	151	временная	как	0	последовательность	последовательность	VP-pfv, как VP-pfv	0	1698	И как почали сходить с лошадей, и они почали уступать от реки, и как перешли наши реку, учинился от них, воров, напуск всеми людьми и окрик великий: их было всех 2000 человек, а нас было только 600 человек. [И. А. Желябужский. Дневные записки (1682-1709)] 	2015	? А в России как раз напротив, стоило заняться госуслугами, как возникло отдельное ведомство… [Светлана Сухова, Юри Луйк. «На бумаге проще обмануть» // «Огонек», 2015]	Он поклялся расстрелять его, как он попадется ему в руки. [Московский телеграф. №10 (1825)]	0																				
167	75	151	временная	когда	0	последовательность	последовательность	VP-pfv, когда VP-pfv	0	1717	Деревья достать здесь довольно, токмо караблей в Петербурх нет, а как будут, немедленно купя, отправлю к вашему превосходительству, статив меру пъедесталям пришлю, когда чертеж будет готов. [В. Н. Татищев. Письмо Я. В. Брюсу (1717)] 	2015	Мадам Маттэрн явилась разряженная, со своими гостями, когда дети уже сидели на партах, ожидая начала уроков, а отец Григорий, взяв шляпу и палку, направлялся к выходу. [И. А. Забежинский. «Грязен, неряха, груб, глуп и, наверное, пьяница… Боже мой, и это священник!» (2015.11.07)] 	А меня кормите и пойте, покуда буду жить, и погребите кости мои, когда умру и переселюсь в вечность. [А. Т. Болотов. Жизнь и приключения Андрея Болотова (1759)]	0																				
168	75	151	временная	как	тогда	последовательность	последовательность	VP-pfv тогда, как VP-pfv	VP-pfv тогда, когда VP-pfv	1744	Комета здесь в начале декабря и до 15 февр[аля] видима была, но напоследок пред солнцем на востоке несколько дней являлась, в начале же октября та ли, или другая от многих видима была, токмо я не видал, и сказали мне уже тогда, как я 2 дек[абря] сию увидел и Санчию писал. [В. Н. Татищев. Письмо И. Д. Шумахеру (1744)] 	1841	Кончатся ж муки твои лишь тогда, как к тебе издалека Некто придет, самому себе ненавистный. [В. А. Жуковский. Наль и Дамаянти (1841)]	Преславно нечто есть сие имя, Архиерей: но сия слава прославится тогда, как чрез сие имя означающияся явятся дела, какия на пр. пастырское на путь истинны путеводительство, деннонощное о спасении душ промышление, за всех дерзновенное предстательство. [архиепископ Платон (Левшин). Нравоучение девятое надесять (1758)] 	0																				
169	75	151	временная	когда	тогда	последовательность	последовательность	тогда VP-pfv, когда VP-pfv	0	1715	А ежели и он свыше того времени принужден был стоять, однако должно ему тогда жалобу приносить, когда сменится. [[Петр I]. Артикул воинский (1715)] 	2015	Так, несомненно, будет и тогда, когда теологию внесут в Перечень научных специальностей. [протоиерей Владимир (Воробьев), А. А. Данилова. Невероятные приключения теологии в России (2015.10.12)] 	Расставшись с тобою, разве тогда перестану плакать, когда высохнет сердце мое. [Н. М. Карамзин. Бедная Лиза (1792)] 	0																				
170	75	151	временная	как	0	последовательность	последовательность	Adv, как VP-pfv, VP-pfv	0	1698	И в ту ночь было тихо и туманно, поутру, как стало светло, увидели, что галеры и мелкия правиантские суды от берега в темноту отнесло в море и разделило от караблей лдом, а ветр настал ост. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	Вежливый молодой человек, на которого они наткнулись сразу же, как только открыли входную дверь, обернулся в их сторону и поинтересовался, кто они такие. [Марина Зосимкина. Ты проснешься. Книга первая (2015)] 	Ты вчера, как обедня отошла у Николы в Пыжах, изволил быть на паперти? [М. Н. Загоскин. Русские в начале осьмнадцатого столетия (1848)] 	прикрепление к обстоятельственному слову со значением временного отрезка																				
171	76	152	временная	тогда как	0	сопоставление	сопоставление	Clause, тогда как Clause	0	1698	Они же тем трактатом обязались, что ежели неприятель ис Полши изженется, тогда как король и Речь Посполитая даже до учинения общаго с неприятелем покою всеми силами в государствах свейских воевать, крепости добывать, и седалище войны туды ж пренести. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)] 	2015	Если же взять экономику в целом, то американский нефтегаз дает лишь 2, 5 процента ВВП, тогда как, например, логистика и транспорт ? 8, 5. [Александр Аничкин. Brent просит пощады // «Огонек», 2015] 	"Оттого-то в России так рано сделались возможными и переводы с этих языков и изучение этих литератур в их собственных звуках; тогда как, например, для французов и теперь еще закрыто печатью тайны святилище, особенно германской поэзии. [В. Г. Белинский. Русская литература в 1841 году (1841)]"	0																				
172	78	156	временная	как	так	длительный результат	длительный результат	как VP-pfv, так и VP-ipfv	0	1843	Ваш печенег десять раз перевернется на коне, заскачет вперед, выскочет назад, спрыгнет и вспрыгнет, а русс как сел, так и сидит на коне, будто прикованный гвоздем железным. [Н. А. Полевой. Пир Святослава Игоревича, князя киевского (1843)] 	2006	Во Франции сейчас вообще не укладывают. Вот как легло, так и носят. Я, злобно: Мы в России. [ICQ-переписка Sonya и krismoro2 (ага, пасиб) (2006)] 	Как родился в Петербурге, так и не выезжал никуда. [И. А. Гончаров. Обломов (1859)]	0																				
173	78	157	временная	как	так	одновременность	одновременность	как NP, так Clause	0	1835	"Тридцать пять тысяч стоили; как час, так и заиграют свои штуки. [И. И. Лажечников. Ледяной дом (1835)] "	1931	Как ночь так и гонют в С/совет и держут по целым ночам в Совете давай деньги. [Н. Н. Белоус. Дневник (1931)] 	? Просто было-с, ? заключил Яков Иванов, потом, подумав, продолжал: ? Бывало, сударь, вся эта компания наедет к нам, сутки трои, четыре, неделю гостят, и теперь какую бы губернатор в доме вещь ни похвалил: часы ли, картину ли, мису ли серебряную, я уж заранее такой приказ имею, что как вечер, так и несу к ним в опочивальню, докладываю, что госпоже нашей очень приятно, что такая-то вещь им понравилась, и просят принять ее. [А. Ф. Писемский. Старая барыня (1857)] 	0																				
174	78	157	временная	как	так	близкое временное последование	близкое временное последование	как Vp-Inf, так Clause	0	1848	И видеть его не хочет: как приезжать ему, так она и вон из дому. [А. Ф. Вельтман. Приключения, почерпнутые из моря житейского. Саломея (1848)] 	2001	«Ну конечно, ? думал я, ? как играть, так все бегут, а тренироваться никого нет. [Борис Минаев. Детство Левы (2001)] 	Как спать, так сразу есть, пить, читать! [Нина Горланова. Дипломаты (1987-1999)] 	инфинитив в придаточной части																				
175	79	158	временная	как	0	указание на временной отрезок	указание на временной отрезок	NP/Clause, как Clause	0	1767	Прибавьте к сему и то, что двести лет прошло, как незнаемая предкам болезнь перешла к северу из Америки и устремилася на пагубу природы человеческой. [Екатерина II. Наказ Комиссии о составлении проекта нового Уложения (1767)] 	2015	И года не прошло, как ее похоронили, причем только с одной, а именно с правой, из двух вызывавших некогда многочисленные восторги, округлостей. [Александр Снегирев. Вера (2015)] 	Уже сто лет прошло, как Рафаэль изобразил неизобразимое. [Московский телеграф. №1 (1825)]	0																				
